nohup: ignoring input
[2025-07-23 01:17:11,518] INFO in __init__: ✅ App created in development mode
[2025-07-23 01:17:12,242] INFO in __init__: ✅ Stripe initialized successfully
[2025-07-23 01:17:12,242] INFO in __init__: ℹ️ Stripe publishable key not configured - payment features disabled
[2025-07-23 01:17:12,244] INFO in __init__: Custom unauthorized handler registered for Flask-Login
[2025-07-23 01:17:12,273] INFO in __init__: ✅ Database models imported successfully
[2025-07-23 01:17:13,122] DEBUG in cache_service: Redis cache disabled: Error 111 connecting to localhost:6379. Connection refused.
[2025-07-23 01:17:13,123] INFO in __init__: Endpoint: static -> /static/<path:filename>
[2025-07-23 01:17:13,526] INFO in main: ✅ Stripe initialized successfully
[2025-07-23 01:17:13,657] INFO in stripe_routes: Stripe API key configured
[2025-07-23 01:17:13,658] INFO in __init__: ✅ Registered Stripe blueprint
[2025-07-23 01:17:13,662] INFO in __init__: ✅ Registered blueprint: stocks
[2025-07-23 01:17:13,664] INFO in __init__: ✅ Registered blueprint: insider_trading
[2025-07-23 01:17:13,678] INFO in __init__: ✅ Registered blueprint: api
[2025-07-23 01:17:13,684] INFO in __init__: ✅ Registered blueprint: analysis
[2025-07-23 01:17:13,684] INFO in __init__: ✅ Registered blueprint: dashboard
[2025-07-23 01:17:13,687] INFO in __init__: ✅ Registered blueprint: pro_tools
[2025-07-23 01:17:13,690] INFO in __init__: ✅ Registered blueprint: market_intel
[2025-07-23 01:17:13,692] INFO in __init__: ✅ Registered blueprint: backtest_bp
[2025-07-23 01:17:13,695] INFO in __init__: ✅ Registered blueprint: seo_content
[2025-07-23 01:17:13,696] INFO in __init__: ✅ Registered blueprint: portfolio_advanced
[2025-07-23 01:17:13,698] INFO in __init__: ✅ Registered blueprint: advanced_analytics
[2025-07-23 01:17:13,700] INFO in __init__: ✅ Registered blueprint: pricing
[2025-07-23 01:17:13,706] INFO in __init__: ✅ Registered blueprint: news_bp
[2025-07-23 01:17:13,708] INFO in __init__: ✅ Registered blueprint: health
